,id,client_type,client_category,region,role_type,priority,num_skills,num_mcqs,num_must_have_skills,num_nice_have_skills,n_devs_must_have_mcq,n_devs_nice_have_mcq,n_devs_must_have_self,n_devs_nice_have_self,job_value,customer_weekly_hour_engagement,is_deleted,dc_date_bin
353,129,existing,4.Bronze,2.Rest of US,Mobile,p1,1,1,1,0,873.0,No Nice have skill,1501.0,No Nice have skill,3.9,,0,1.0
354,704,new,4.Bronze,2.Rest of US,Web Backend,p1,4,3,3,1,0.0,148.0,55.0,11204.0,7.4,40,0,0.0
355,951,new,5.Unknown,1.Bay Area,Fullstack (FE-heavy),,4,4,1,3,0.0,1.0,555.0,13.0,,40,0,0.0
356,1101,new,4.Bronze,2.Rest of US,Web Frontend,,2,3,1,1,4251.0,4228.0,15643.0,13071.0,7.4,40,0,0.0
358,359,existing,4.Bronze,2.Rest of US,Fullstack (BE-heavy),,3,4,3,0,146.0,No Nice have skill,2223.0,No Nice have skill,7.4,,0,1.0
361,1304,new,1.Platinum,3.Top 30 GDP,Mobile,p0,1,1,1,0,1513.0,No Nice have skill,3385.0,No Nice have skill,5.8,40,0,0.0
362,1244,new,1.Platinum,3.Top 30 GDP,Web Backend,p0,5,6,1,4,752.0,1.0,1103.0,75.0,5.8,40,0,0.0
364,3152,existing,3.Silver,1.Bay Area,Mobile,p1,4,2,3,1,284.0,0,253.0,513.0,11.5,40,0,0.0
365,3149,existing,3.Silver,1.Bay Area,Mobile,p1,4,2,3,1,0.0,0,27.0,833.0,11.5,40,0,1.0
366,738,existing,3.Silver,1.Bay Area,Web Frontend,,1,2,1,0,4251.0,No Nice have skill,15643.0,No Nice have skill,14.7,40,0,0.0
367,703,new,5.Unknown,2.Rest of US,Data Engineering,p1,3,3,2,1,181.0,0,4918.0,1064.0,,40,0,0.0
368,1250,new,4.Bronze,2.Rest of US,Web Backend,p2,1,2,0,1,0.0,9808.0,0.0,17893.0,7.4,40,0,0.0
