skill_name,External_Sourcing,geo_group,city_ip,n_devs,n_devs_bi,n_accs,n_p2_devs,n_ntes,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_dcs,acc_days_median,p2_days_median,nte_days_median,icf_days_median,dc_days_median,hourly_rate_median,min_dev_skill_cost,max_dev_skill_cost,minCost_per_su,maxCost_per_su,su_to_icf_30_perc,su_to_icf_60_perc,su_to_icf_90_perc,su_to_icf_365_perc,rate_geo_median,city_tier,lat,lng
Python,N,ROW,Islamabad,4269,3509,258,271,107,479,144,169,198,389,9,93.0,91.0,125.0,144.0,222.0,0.9909090909094082,3684.4945264593644,4649.568648785724,0.8630814069944635,1.0891470247799775,0.03373155305692199,0.03958772546263762,0.046380885453267746,0.09112204263293511,2.278030303031032,2,33.68442,73.0479
Python,N,ROW,Dhaka,4138,3151,196,196,77,371,149,174,189,312,3,34.0,37.0,95.0,78.0,352.0,1.2852272727231602,3211.425483394013,4207.936037782884,0.7760815571276011,1.0169009274487395,0.03600773320444659,0.04204929917834703,0.04567423876268729,0.07539874335427743,2.278030303031032,2,23.81033,90.41252
Python,N,ROW,Kochi,3937,2640,91,99,24,296,106,119,140,250,0,20.0,18.0,38.0,109.0,,1.7378523674224202,3416.5267946021777,3983.629130545396,0.867799541428036,1.0118438228461764,0.026924053848107695,0.030226060452120906,0.03556007112014224,0.063500127000254,2.278030303031032,2,9.93123,76.2673
Python,N,ROW,Patna,3806,2423,118,119,36,246,96,104,115,204,1,29.5,40.0,78.0,101.0,272.0,2.278030303031032,3573.441600113806,4372.255427360741,0.9388968996620615,1.1487796708777565,0.025223331581713086,0.027325275880189175,0.0302154492905938,0.053599579611140306,2.278030303031032,2,25.59408,85.13756
Python,N,ROW,Kathmandu,2888,2290,194,182,63,321,121,135,153,263,2,84.5,81.0,135.0,104.0,153.0,1.419128787879242,2053.707071388821,2646.2216109419837,0.711117406990589,0.916281721240299,0.04189750692520776,0.046745152354570635,0.052977839335180056,0.09106648199445984,2.278030303031032,2,27.70169,85.3206
Python,N,ROW,Nagpur,2689,1752,74,73,18,222,86,105,111,201,1,64.5,50.0,75.5,93.0,269.0,2.05501967898274,1876.728964196333,2243.574984184116,0.6979282127914961,0.8343529134191581,0.03198214949795463,0.03904797322424693,0.04127928597991819,0.07474897731498699,2.278030303031032,2,21.14631,79.08491
Python,N,ROW,Indore,2684,1775,114,118,33,226,56,72,86,178,1,29.0,30.5,99.0,141.0,99.0,2.078702651515516,2150.118755428515,2604.452164027011,0.8010874647647225,0.9703622071635659,0.020864381520119227,0.026825633383010434,0.03204172876304024,0.06631892697466468,2.278030303031032,2,22.71792,75.8333
Python,N,ROW,Jakarta,2609,2228,150,149,49,278,121,135,154,235,4,18.0,18.0,49.0,66.0,360.0,2.0,1743.7025137756802,2194.0818765447075,0.6683413237929016,0.8409666065713712,0.046377922575699504,0.05174396320429283,0.05902644691452664,0.09007282483710234,2.278030303031032,2,-6.21462,106.84513
Python,N,ROW,Coimbatore,2567,1792,85,93,36,204,59,72,92,174,1,25.0,25.0,65.0,121.5,50.0,2.278030303031032,2160.6594995273213,2551.3632366945344,0.8417060769487033,0.9939085456542791,0.022984028048305415,0.028048305414881184,0.03583950136345929,0.06778340475262953,2.278030303031032,2,11.00555,76.96612
Python,N,ROW,Rawalpindi,2258,1786,130,135,61,233,67,74,88,169,5,39.5,43.0,110.0,180.0,173.0,0.8257575757560961,2425.6979279205793,2987.0963002546096,1.0742683471747472,1.3228947299621832,0.02967227635075288,0.03277236492471213,0.03897254207263064,0.07484499557130203,2.278030303031032,2,33.59446,73.05661
