,nice_have_skill_ids,n_devs_nice_have_mcq,elite_devs_nice_have_mcq
152,"113,433",52.0,46.0
153,"113,433,55,61",7.0,7.0
154,"113,433,61",9.0,9.0
155,"113,86",6922.0,3431.0
156,"113,86,87",168.0,146.0
157,"113,87",168.0,146.0
158,114,6922.0,3431.0
159,"114,116",341.0,300.0
160,"114,120,20",186.0,178.0
161,"114,120,20,433",6.0,5.0
162,"114,122",390.0,359.0
163,"114,122,165",222.0,211.0
164,"114,1318,165",7.0,6.0
165,"114,158",463.0,424.0
166,"114,158,20",108.0,103.0
167,"114,158,2096",31.0,28.0
168,"114,159",102.0,96.0
169,"114,159,165,526",4.0,3.0
170,"114,159,27",10.0,8.0
171,"114,159,433",2.0,1.0
172,"114,20",2921.0,1298.0
173,"114,20,2094",853.0,427.0
174,"114,20,55,61",45.0,42.0
175,"114,2031",363.0,320.0
176,"114,2031,433",6.0,6.0
177,"114,2036",572.0,488.0
178,"114,2062,433",3.0,2.0
179,"114,221",92.0,63.0
180,"114,258,55,61",42.0,40.0
181,"114,258,93",40.0,39.0
182,"114,26",178.0,131.0
183,"114,26,60",1.0,0.0
184,"114,27,64",3.0,3.0
185,"114,282",193.0,178.0
186,"114,30",103.0,70.0
187,"114,305",189.0,167.0
188,"114,309,387",56.0,55.0
189,"114,387,93",45.0,44.0
190,"114,433",52.0,46.0
191,"114,433,86",52.0,46.0
192,"114,836",512.0,438.0
193,"114,86",6922.0,3431.0
194,116,883.0,661.0
195,"116,120",424.0,357.0
196,"116,120,268,282",3.0,3.0
197,"116,120,60",2.0,1.0
198,"116,121,2031,55",21.0,21.0
199,"116,121,87",10.0,10.0
200,"116,122",92.0,87.0
201,"116,122,282",29.0,28.0
202,"116,132,160,20",2.0,1.0
203,"116,132,433,60",1.0,0.0
204,"116,1397,268,282",1.0,1.0
205,"116,1397,282",31.0,31.0
206,"116,1403",91.0,87.0
207,"116,145",24.0,23.0
208,"116,158,2031",139.0,130.0
209,"116,158,282,433",2.0,1.0
210,"116,158,433",8.0,7.0
211,"116,159",63.0,60.0
212,"116,159,2036,29,93",1.0,1.0
213,"116,159,282",33.0,31.0
214,"116,160,282",16.0,14.0
215,"116,160,433",2.0,1.0
216,"116,1821",341.0,300.0
217,"116,1849",1.0,1.0
218,"116,19,30,55,86",3.0,3.0
219,"116,19,55,86",3.0,3.0
220,"116,20",181.0,150.0
221,"116,20,258",60.0,57.0
222,"116,20,26,29,433,87",1.0,0.0
223,"116,20,282,55,86",10.0,9.0
224,"116,2031",206.0,185.0
225,"116,2036,93",12.0,12.0
226,"116,2061",341.0,300.0
227,"116,2096",52.0,39.0
228,"116,25,31,86,87",4.0,3.0
229,"116,258,305,93",2.0,2.0
230,"116,26,433,49",3.0,2.0
231,"116,282,433",2.0,1.0
232,"116,29",137.0,123.0
233,"116,30,55,86",3.0,3.0
234,"116,392,433",1.0,0.0
235,"116,433",12.0,11.0
236,"116,433,86",7.0,6.0
237,"116,69",18.0,15.0
238,"116,86",341.0,300.0
239,1186,6922.0,3431.0
240,"1186,433,69",7.0,6.0
241,119,8.0,4.0
242,"119,433",1.0,0.0
243,120,4228.0,2205.0
244,"120,121,132,160,2031",5.0,5.0
245,"120,121,433",1.0,1.0
246,"120,122,1397,2031",39.0,37.0
247,"120,122,160,2036,30",1.0,1.0
248,"120,122,20,2031,2036",9.0,9.0
249,"120,122,2036",105.0,100.0
250,"120,122,406",39.0,34.0
251,"120,132",95.0,83.0
252,"120,132,2031",33.0,30.0
253,"120,1397,19,20,2031",1.0,1.0
254,"120,158",1375.0,1001.0
255,"120,158,165,93",9.0,9.0
256,"120,158,20,26,29,30",2.0,2.0
257,"120,158,2031",719.0,540.0
258,"120,158,2036,433",1.0,1.0
259,"120,158,86",254.0,235.0
260,"120,159",262.0,219.0
261,"120,159,1855",36.0,35.0
262,"120,159,20,580,857",5.0,5.0
263,"120,159,2031",146.0,130.0
264,"120,159,2036,31",2.0,2.0
265,"120,159,305",12.0,12.0
266,"120,160",264.0,205.0
267,"120,165,20,29",20.0,19.0
268,"120,1855,19,20,2031",1.0,1.0
269,"120,188",35.0,28.0
270,"120,19,91",2.0,2.0
271,"120,20",541.0,421.0
272,"120,20,2068,26",2.0,1.0
273,"120,20,25,26,30,31",1.0,1.0
274,"120,20,26",30.0,28.0
275,"120,20,26,55",15.0,15.0
276,"120,20,29",96.0,89.0
277,"120,20,433",8.0,7.0
278,"120,20,55,93",5.0,5.0
279,"120,20,86",186.0,178.0
280,"120,20,91",33.0,26.0
281,"120,2031",1410.0,849.0
282,"120,2031,2096",40.0,35.0
283,"120,2031,433",5.0,5.0
284,"120,2036",772.0,496.0
285,"120,2036,392",25.0,22.0
286,"120,2050,304",7.0,7.0
287,"120,2096",101.0,85.0
288,"120,2096,29",13.0,12.0
289,"120,26",101.0,85.0
290,"120,282",507.0,408.0
291,"120,29",336.0,270.0
292,"120,30",58.0,49.0
293,"120,30,406",4.0,4.0
294,"120,315",8.0,6.0
295,"120,387",55.0,51.0
296,"120,406",188.0,164.0
297,"120,406,433",3.0,2.0
298,"120,433",16.0,13.0
299,"120,433,55,86",5.0,5.0
300,"120,433,69",2.0,1.0
301,"120,580",108.0,92.0
302,"120,60",2.0,1.0
303,"120,86",674.0,594.0
304,"120,93",135.0,126.0
305,121,1028.0,602.0
306,"121,1405,158,282",2.0,2.0
307,"121,158,160",69.0,61.0
308,"121,158,387",14.0,13.0
309,"121,158,660",446.0,350.0
310,"121,159",132.0,112.0
311,"121,20",107.0,86.0
312,"121,2031,2094",4.0,4.0
313,"121,86",113.0,106.0
314,122,2214.0,1368.0
315,"122,1397",280.0,225.0
316,"122,1397,2031",84.0,60.0
317,"122,1397,2031,26",4.0,4.0
318,"122,158,2031,86",32.0,31.0
319,"122,158,93",34.0,34.0
320,"122,159",82.0,74.0
321,"122,165,2036",81.0,76.0
322,"122,1710,2031",16.0,15.0
323,"122,1855,2031",84.0,60.0
324,"122,20",319.0,236.0
325,"122,20,25",77.0,57.0
326,"122,2031",389.0,268.0
327,"122,2031,2036",84.0,60.0
328,"122,2031,358",60.0,59.0
329,"122,2031,91",10.0,9.0
330,"122,2031,93",26.0,26.0
331,"122,2031,939",69.0,68.0
332,"122,2036",280.0,225.0
333,"122,26,64",3.0,3.0
334,"122,433",3.0,2.0
335,1315,296.0,18.0
336,1318,509.0,71.0
337,132,680.0,300.0
338,"132,158",84.0,75.0
339,"132,159",17.0,14.0
340,"132,159,60",1.0,0.0
341,"132,20",69.0,50.0
342,"132,406,580",9.0,7.0
343,"132,433",4.0,3.0
344,"132,433,60",1.0,0.0
345,"132,433,86",3.0,2.0
346,"132,526",15.0,13.0
347,"132,857",37.0,34.0
348,"132,86",74.0,66.0
349,1367,1864.0,682.0
350,1397,3467.0,1539.0
351,"1397,158",645.0,500.0
352,"1397,158,2101,93",2.0,2.0
353,"1397,2031",321.0,231.0
354,"1397,387",41.0,37.0
355,"1397,392,508",2.0,2.0
356,"1397,93",88.0,78.0
357,1403,1656.0,1026.0
358,1405,22.0,16.0
359,"1405,158",14.0,11.0
360,"1405,159",3.0,2.0
361,"1405,406",3.0,2.0
362,145,70.0,56.0
363,"145,836",7.0,7.0
364,158,3188.0,1896.0
365,"158,159",295.0,233.0
366,"158,159,406",48.0,43.0
367,"158,165,2036,93",2.0,2.0
368,"158,1821",463.0,424.0
369,"158,188,2031",11.0,11.0
370,"158,19",36.0,31.0
371,"158,19,2031,2096",3.0,3.0
372,"158,19,29",4.0,4.0
373,"158,20",343.0,283.0
374,"158,20,2031,26",14.0,14.0
375,"158,20,30",8.0,8.0
376,"158,20,660",48.0,46.0
377,"158,2031",1479.0,912.0
378,"158,2031,29,55,61",5.0,5.0
379,"158,2031,433",8.0,8.0
380,"158,2031,86",184.0,172.0
381,"158,2031,93",54.0,51.0
382,"158,2036",645.0,500.0
383,"158,2036,309,93",9.0,9.0
384,"158,2036,93",29.0,27.0
385,"158,2094,268",5.0,5.0
386,"158,2096,304",8.0,8.0
387,"158,2096,304,64",2.0,2.0
388,"158,26",72.0,60.0
389,"158,282,406,93",7.0,7.0
390,"158,29",267.0,232.0
391,"158,30",36.0,31.0
392,"158,315",8.0,7.0
393,"158,433,55,61,86",2.0,2.0
394,"158,49,55,61,86",2.0,2.0
395,"158,580",117.0,104.0
396,"158,86",463.0,424.0
397,"158,86,93",28.0,27.0
398,"158,87",69.0,64.0
399,"158,93",132.0,118.0
400,159,560.0,368.0
401,"159,160,580",22.0,19.0
402,"159,160,580,86",4.0,3.0
403,"159,188",7.0,6.0
404,"159,19",23.0,20.0
405,"159,2031,282",45.0,40.0
406,"159,2031,406",43.0,39.0
407,"159,268",7.0,5.0
408,"159,315",6.0,3.0
409,"159,406",63.0,53.0
410,"159,433,69",1.0,0.0
411,"159,49,86,87",1.0,0.0
412,"159,55",121.0,101.0
413,"159,55,61",18.0,17.0
414,"159,580",88.0,73.0
415,"159,61",25.0,24.0
416,"159,857",57.0,55.0
417,"159,86",102.0,96.0
418,"159,87",21.0,16.0
419,"159,91",21.0,16.0
420,"159,93",22.0,21.0
421,16,873.0,134.0
422,"16,160",75.0,32.0
423,"16,29,568",7.0,6.0
424,"16,448",97.0,53.0
425,"16,568",19.0,13.0
426,"16,93",2.0,2.0
427,160,1442.0,530.0
428,"160,165",94.0,81.0
429,"160,165,526",7.0,4.0
430,"160,2031",347.0,204.0
431,"160,2031,268,31",1.0,1.0
432,"160,2036",58.0,48.0
433,"160,308,309",11.0,11.0
434,"160,392",62.0,38.0
435,"160,406",101.0,65.0
436,"160,433",4.0,3.0
437,"160,55,61",4.0,4.0
438,"160,580",97.0,54.0
